26 三月 2019 | 14:19:30,373 | DEBUG | XNIO-4 I/O-8 | org.xnio.nio |     | Started channel thread 'XNIO-4 I/O-8', selector sun.nio.ch.WindowsSelectorImpl@32dcbe4
26 三月 2019 | 14:19:30,373 | DEBUG | XNIO-4 I/O-7 | org.xnio.nio |     | Started channel thread 'XNIO-4 I/O-7', selector sun.nio.ch.WindowsSelectorImpl@466348f4
26 三月 2019 | 14:19:34,695 | DEBUG | XNIO-4 I/O-5 | io.undertow.request |     | Matched default handler path /index
26 三月 2019 | 14:19:34,696 | DEBUG | XNIO-4 task-1 | undertow.request.security |     | Attempting to authenticate /index, authentication required: false
26 三月 2019 | 14:19:34,696 | DEBUG | XNIO-4 task-1 | undertow.request.security |     | Authentication outcome was NOT_ATTEMPTED with method io.undertow.security.impl.CachedAuthenticatedSessionMechanism@592caa87 for /index
26 三月 2019 | 14:19:34,696 | DEBUG | XNIO-4 task-1 | undertow.request.security |     | Authentication result was ATTEMPTED for /index
26 三月 2019 | 14:19:34,719 | DEBUG | XNIO-4 I/O-5 | io.undertow.request |     | Matched default handler path /generate/QrCode
26 三月 2019 | 14:19:34,720 | DEBUG | XNIO-4 task-2 | undertow.request.security |     | Attempting to authenticate /generate/QrCode, authentication required: false
26 三月 2019 | 14:19:34,721 | DEBUG | XNIO-4 task-2 | undertow.request.security |     | Authentication outcome was NOT_ATTEMPTED with method io.undertow.security.impl.CachedAuthenticatedSessionMechanism@592caa87 for /generate/QrCode
26 三月 2019 | 14:19:34,721 | DEBUG | XNIO-4 task-2 | undertow.request.security |     | Authentication result was ATTEMPTED for /generate/QrCode
26 三月 2019 | 14:19:34,813 | DEBUG | XNIO-4 I/O-7 | io.undertow.request |     | Matched default handler path /user/page/pageQuery
26 三月 2019 | 14:19:34,814 | DEBUG | XNIO-4 task-3 | undertow.request.security |     | Attempting to authenticate /user/page/pageQuery, authentication required: false
26 三月 2019 | 14:19:34,815 | DEBUG | XNIO-4 task-3 | undertow.request.security |     | Authentication outcome was NOT_ATTEMPTED with method io.undertow.security.impl.CachedAuthenticatedSessionMechanism@592caa87 for /user/page/pageQuery
26 三月 2019 | 14:19:34,815 | DEBUG | XNIO-4 task-3 | undertow.request.security |     | Authentication result was ATTEMPTED for /user/page/pageQuery
